,Model,Techniques,MapeMean,R2,R2Score,MSE,MAE
0,ridge,All Feature without CV,39.921602228475756,0.7235604131556084,0.7235604131556084,0.01112146185499971,0.07239292877197621
1,ridge,Randomized Search with CV,39.925808797017375,0.7235598052589123,0.7235604131556084,0.011121486311337516,0.07239313285779508
2,ridge,Cross val with CV,39.76500587389915,0.7203523856798556,0.7203523856798556,0.011250524250182132,0.07242374461749351
3,sgd,All Feature without CV,61.96499937280002,0.10224438724976381,0.10224438724976381,0.03611767372497868,0.14981523939792257
4,sgd,Randomized Search with CV,39.85510356768714,0.7230705481308772,0.10224438724976381,0.0111411696517333,0.07252364471868204
5,sgd,Cross val with CV,40.123127916629535,0.6986773794329759,0.6986773794329759,0.012122533060256232,0.07650284613849324
6,mlp-nn,All Feature without CV,26.97105917289839,0.8332742370077059,0.8332742370077059,0.006707556737914942,0.05414509685033744
7,mlp-nn,Randomized Search with CV,30.80157365710661,0.7600526796317582,0.8332742370077059,0.0096533387317893,0.06473571948053278
8,mlp-nn,Cross val with CV,35.59265066689032,0.7367720053235924,0.7367720053235924,0.010589945294664393,0.06775551362699758
9,gbm,All Feature without CV,26.05906337044585,0.8295235261944911,0.8295235261944911,0.0068584518673516105,0.053502030611670755
10,gbm,Randomized Search with CV,25.720306741708292,0.8342502535838152,0.8295235261944911,0.006668290541474134,0.05156453550543502
11,gbm,Cross val with CV,26.587302987459644,0.8207204118419631,0.8207204118419631,0.007212610624403833,0.05369118365774246
12,gbm,RFE with CV,25.54060726197252,0.8357889713832738,0.8357889713832738,0.006606386269703099,0.051606895411793204
13,xgb,All Feature without CV,25.50036641643213,0.8381980345218634,0.8381980345218634,0.006509467068991114,0.05188956856318898
14,xgb,Randomized Search with CV,24.183880046651897,0.8652105330463814,0.8381980345218634,0.005422725204781306,0.046728654354886635
15,xgb,Cross val with CV,27.87729821799122,0.8096025175969422,0.8096025175969422,0.007659895465787718,0.05624925109505305
16,xgb,RFE with CV,23.728256617060016,0.8670041990792131,0.8670041990792131,0.0053505640914166906,0.04616874338292208
17,bagging,All Feature without CV,,0.8729057175770236,0.8729057175770236,0.0051131396559036925,0.04162184646116303
18,bagging,Randomized Search with CV,28.02954379853172,0.8378802544276839,0.8729057175770236,0.006522251703912758,0.05367944103313196
19,bagging,Cross val with CV,30.630734941352106,0.7916237922555389,0.7916237922555389,0.008383198920146035,0.06123184982496835
20,ada boost,All Feature without CV,40.65674006753948,0.6499744950195286,0.6499744950195286,0.014081902474078672,0.088752597255144
21,ada boost,Randomized Search with CV,36.872922648242195,0.6922172497144189,0.6499744950195286,0.012382431025896456,0.07917331589810679
22,ada boost,Cross val with CV,36.27314715045918,0.6997182767181893,0.6997182767181893,0.012080656643117063,0.07771618111867104
23,DTC,All Feature without CV,,0.7627001813920001,0.7627001813920001,0.009546826888917281,0.054823877633522214
24,DTC,Randomized Search with CV,52.79446314258322,0.3282488453584418,0.7627001813920001,0.027025271335698608,0.12533901313560475
25,DTC,Cross val with CV,51.20852092848398,0.38615458223602694,0.38615458223602694,0.02469566127072546,0.1165440159008764
26,knn,All Feature without CV,,0.7777273542255714,0.7777273542255714,0.008942267565975139,0.0596442233731464
27,random forest,All Feature without CV,32.06780544297287,0.7493326305836652,0.7493326305836652,0.010084617833067957,0.06693141094581438
