,Model,Techniques,MapeMean,R2,R2Score,MSE,MAE
0,ridge,All Feature without CV,43.18633739421821,0.7199634883397303,0.7199634883397303,0.013651365162443802,0.08126641070010003
1,ridge,Randomized Search with CV,43.19162625706413,0.7199605739744674,0.7199634883397303,0.013651507233433698,0.08126715615372491
2,ridge,Cross val with CV,43.034430353291924,0.715147251303905,0.715147251303905,0.013886149584286264,0.0815913643293804
3,sgd,All Feature without CV,66.19675226795697,0.113988929109059,0.113988929109059,0.04319172737508477,0.17014072111331827
4,sgd,Randomized Search with CV,43.40154142159151,0.7197714096284703,0.113988929109059,0.013660728715116971,0.08125709191321934
5,sgd,Cross val with CV,43.314007651081866,0.6934555518270535,0.6934555518270535,0.01494358780474137,0.0864346797079703
6,mlp-nn,All Feature without CV,28.660694351344958,0.8392636164784677,0.8392636164784677,0.007835660619159059,0.05827235576636379
7,mlp-nn,Randomized Search with CV,33.971981133290846,0.7516625870086715,0.8392636164784677,0.012106081054009283,0.07332870438195783
8,mlp-nn,Cross val with CV,38.503845825730224,0.7280991765846644,0.7280991765846644,0.013254762410820702,0.07738514515360781
9,gbm,All Feature without CV,27.345107505055733,0.8328903465112378,0.8328903465112378,0.008146348090180841,0.058632028918154465
10,gbm,Randomized Search with CV,27.379034306559483,0.8347568002411379,0.8328903465112378,0.00805536123537892,0.057017365442581895
11,gbm,Cross val with CV,28.571626783126128,0.8147273522930456,0.8147273522930456,0.009031767155880032,0.05996524977348431
12,gbm,RFE with CV,26.82039054295279,0.835841905930957,0.835841905930957,0.00800246394022357,0.056725270234873205
13,xgb,All Feature without CV,26.849883822574895,0.8420501133251943,0.8420501133251943,0.00769982302514985,0.05672417141883893
14,xgb,Randomized Search with CV,25.668429651715503,0.8677983606931884,0.8420501133251943,0.0064446341034286505,0.05141479655557664
15,xgb,Cross val with CV,29.857412332916965,0.8055950288147687,0.8055950288147687,0.009476954398944826,0.0632162525781165
16,xgb,RFE with CV,25.717077837953504,0.8689489622787101,0.8689489622787101,0.006388543980368201,0.05100907691961632
17,bagging,All Feature without CV,,0.8781641664144325,0.8781641664144325,0.00593931642801308,0.04478589718325267
18,bagging,Randomized Search with CV,29.310606665589468,0.8477415514378014,0.8781641664144325,0.00742237384713371,0.0574632145918513
19,bagging,Cross val with CV,33.196348837951916,0.7886287646079047,0.7886287646079047,0.01030403464914943,0.06919859794325499
20,ada boost,All Feature without CV,41.802244135366735,0.6829221730876691,0.6829221730876691,0.015457074416587557,0.09337869030285861
21,ada boost,Randomized Search with CV,38.787657647704236,0.7051839420792032,0.6829221730876691,0.014371846151660145,0.08631321214508976
22,ada boost,Cross val with CV,38.526031018500035,0.7010510714424607,0.7010510714424607,0.014573317473727464,0.0866459563220709
23,DTC,All Feature without CV,,0.7749157339543506,0.7749157339543506,0.010972524582214151,0.05854935635005794
24,DTC,Randomized Search with CV,49.86038237781984,0.4666616937290238,0.7749157339543506,0.025999452467316792,0.11906296318243766
25,DTC,Cross val with CV,58.64405787554675,0.2357048663391449,0.2357048663391449,0.03725825571681483,0.14707601150412572
26,knn,All Feature without CV,,0.7841617244165815,0.7841617244165815,0.010521796242041455,0.06441034308183277
27,random forest,All Feature without CV,33.1200604955316,0.7582898819395276,0.7582898819395276,0.011783010242264252,0.07225454440313796
